Edges in the graph (u, v, w):
(0, 905, 18)
(0, 670, 28)
(0, 37, 26)
(0, 781, 8)
(0, 980, 34)
(0, 179, 32)
(0, 531, 33)
(0, 4, 33)
(0, 637, 30)
(0, 886, 31)
(0, 124, 45)
(0, 812, 40)
(0, 369, 44)
(0, 792, 9)
(0, 333, 14)
(0, 876, 8)
(0, 263, 27)
(0, 762, 16)
(0, 809, 15)
(0, 651, 21)
(0, 19, 46)
(0, 282, 7)
(0, 529, 12)
(0, 852, 44)
(0, 956, 18)
(0, 947, 48)
(0, 501, 19)
(1, 324, 17)
(1, 236, 45)
(1, 80, 34)
(1, 505, 49)
(1, 444, 41)
(1, 314, 21)
(1, 617, 18)
(1, 756, 42)
(1, 891, 22)
(1, 373, 50)
(1, 239, 7)
(1, 215, 40)
(1, 657, 41)
(1, 149, 30)
(1, 511, 30)
(1, 57, 4)
(1, 56, 45)
(1, 102, 5)
(1, 148, 27)
(1, 180, 30)
(1, 246, 30)
(1, 907, 27)
(2, 636, 49)
(2, 910, 3)
(2, 829, 33)
(2, 744, 43)
(2, 71, 27)
(2, 914, 33)
(2, 272, 7)
(2, 527, 2)
(2, 550, 15)
(2, 200, 21)
(2, 100, 15)
(2, 176, 38)
(2, 319, 5)
(2, 996, 48)
(2, 8, 6)
(2, 440, 34)
(3, 921, 8)
(3, 726, 47)
(3, 600, 28)
(3, 266, 6)
(3, 391, 2)
(3, 109, 27)
(3, 795, 43)
(3, 621, 21)
(3, 535, 38)
(3, 777, 41)
(3, 818, 36)
(3, 440, 34)
(3, 276, 10)
(3, 233, 16)
(3, 384, 24)
(3, 32, 34)
(3, 712, 21)
(3, 260, 46)
(3, 368, 23)
(3, 182, 10)
(4, 641, 14)
(4, 303, 13)
(4, 822, 24)
(4, 662, 30)
(4, 486, 34)
(4, 575, 7)
(4, 505, 26)
(4, 246, 37)
(4, 994, 44)
(4, 438, 49)
(4, 853, 37)
(4, 922, 49)
(4, 851, 47)
(4, 906, 43)
(4, 863, 1)
(4, 708, 42)
(4, 26, 42)
(4, 213, 7)
(4, 549, 41)
(5, 284, 50)
(5, 419, 29)
(5, 155, 22)
(5, 427, 16)
(5, 133, 24)
(5, 382, 29)
(5, 717, 29)
(5, 811, 50)
(5, 19, 45)
(5, 114, 35)
(5, 11, 46)
(5, 272, 4)
(5, 858, 47)
(5, 737, 50)
(5, 997, 4)
(5, 27, 15)
(5, 777, 23)
(5, 514, 44)
(6, 890, 1)
(6, 297, 5)
(6, 306, 31)
(6, 850, 14)
(6, 533, 21)
(6, 266, 49)
(6, 928, 36)
(6, 943, 32)
(6, 135, 17)
(6, 392, 23)
(6, 260, 13)
(6, 880, 36)
(6, 466, 11)
(6, 592, 4)
(6, 44, 35)
(6, 138, 36)
(6, 626, 12)
(6, 176, 28)
(6, 750, 43)
(7, 709, 5)
(7, 550, 25)
(7, 828, 48)
(7, 450, 7)
(7, 292, 2)
(7, 901, 25)
(7, 650, 28)
(7, 230, 5)
(7, 635, 11)
(7, 823, 30)
(7, 382, 39)
(7, 367, 28)
(7, 646, 19)
(7, 517, 29)
(7, 788, 16)
(7, 212, 32)
(7, 980, 16)
(7, 594, 38)
(7, 332, 50)
(7, 530, 44)
(7, 841, 41)
(7, 293, 29)
(7, 918, 49)
(7, 539, 6)
(7, 797, 28)
(8, 896, 36)
(8, 201, 50)
(8, 221, 19)
(8, 571, 5)
(8, 471, 25)
(8, 113, 44)
(8, 780, 39)
(8, 656, 36)
(8, 87, 23)
(8, 527, 1)
(8, 533, 46)
(8, 187, 19)
(8, 697, 48)
(8, 448, 47)
(8, 814, 40)
(8, 266, 27)
(8, 158, 43)
(8, 211, 3)
(8, 342, 13)
(8, 329, 13)
(8, 58, 14)
(8, 284, 41)
(8, 865, 7)
(8, 452, 33)
(8, 236, 3)
(9, 22, 46)
(9, 280, 49)
(9, 840, 39)
(9, 398, 46)
(9, 177, 8)
(9, 903, 38)
(9, 971, 2)
(9, 312, 16)
(9, 774, 3)
(9, 459, 27)
(9, 160, 31)
(9, 469, 19)
(9, 352, 29)
(9, 477, 23)
(9, 397, 4)
(9, 343, 29)
(9, 550, 12)
(9, 875, 26)
(10, 840, 48)
(10, 623, 50)
(10, 776, 45)
(10, 606, 2)
(10, 235, 25)
(10, 512, 41)
(10, 350, 40)
(10, 344, 46)
(10, 839, 31)
(10, 521, 26)
(10, 651, 30)
(10, 612, 14)
(10, 998, 19)
(10, 250, 1)
(10, 847, 14)
(11, 348, 16)
(11, 838, 50)
(11, 548, 5)
(11, 597, 50)
(11, 382, 46)
(11, 390, 36)
(11, 935, 45)
(11, 803, 47)
(11, 636, 23)
(11, 235, 41)
(11, 750, 38)
(11, 137, 49)
(11, 367, 39)
(11, 415, 39)
(11, 230, 50)
(12, 987, 44)
(12, 368, 16)
(12, 151, 2)
(12, 288, 29)
(12, 68, 28)
(12, 684, 4)
(12, 432, 33)
(12, 256, 49)
(12, 161, 49)
(12, 716, 31)
(12, 724, 13)
(12, 918, 38)
(12, 149, 21)
(12, 354, 7)
(12, 680, 12)
(12, 178, 41)
(12, 665, 28)
(12, 525, 31)
(12, 444, 27)
(12, 418, 11)
(12, 273, 10)
(12, 195, 46)
(12, 867, 10)
(13, 760, 30)
(13, 378, 42)
(13, 23, 5)
(13, 981, 45)
(13, 212, 18)
(13, 742, 36)
(13, 673, 33)
(13, 976, 9)
(13, 15, 37)
(13, 79, 31)
(13, 313, 25)
(13, 757, 37)
(13, 686, 7)
(13, 645, 6)
(13, 910, 8)
(13, 604, 17)
(13, 801, 15)
(13, 858, 14)
(13, 208, 41)
(13, 464, 24)
(13, 806, 35)
(13, 996, 43)
(14, 257, 14)
(14, 80, 33)
(14, 829, 33)
(14, 642, 20)
(14, 181, 9)
(14, 345, 23)
(14, 866, 31)
(14, 740, 32)
(14, 583, 3)
(14, 512, 6)
(14, 708, 49)
(14, 494, 43)
(14, 906, 21)
(14, 894, 43)
(14, 102, 37)
(14, 936, 1)
(14, 209, 19)
(14, 690, 21)
(14, 771, 32)
(15, 291, 26)
(15, 237, 20)
(15, 385, 3)
(15, 751, 28)
(15, 143, 1)
(15, 125, 14)
(15, 513, 11)
(15, 390, 38)
(15, 276, 41)
(15, 61, 30)
(15, 272, 28)
(15, 965, 16)
(15, 891, 4)
(15, 936, 37)
(15, 183, 17)
(15, 667, 28)
(15, 598, 13)
(15, 811, 50)
(15, 657, 37)
(15, 172, 36)
(15, 318, 36)
(15, 686, 39)
(15, 77, 43)
(15, 59, 16)
(15, 301, 46)
(15, 676, 39)
(15, 157, 20)
(15, 525, 37)
(15, 856, 42)
(16, 996, 38)
(16, 657, 26)
(16, 804, 32)
(16, 352, 24)
(16, 625, 11)
(16, 644, 19)
(16, 738, 22)
(16, 546, 22)
(16, 499, 3)
(16, 486, 1)
(16, 241, 16)
(16, 353, 6)
(16, 675, 17)
(17, 853, 17)
(17, 431, 19)
(17, 31, 21)
(17, 879, 28)
(17, 789, 13)
(17, 319, 18)
(17, 253, 6)
(17, 834, 23)
(17, 794, 33)
(17, 774, 39)
(17, 642, 39)
(17, 657, 17)
(17, 493, 41)
(17, 935, 33)
(17, 570, 41)
(17, 465, 13)
(17, 648, 41)
(18, 671, 33)
(18, 426, 42)
(18, 272, 2)
(18, 939, 50)
(18, 794, 14)
(18, 991, 39)
(18, 929, 30)
(18, 351, 15)
(18, 106, 13)
(18, 501, 4)
(18, 64, 6)
(18, 524, 3)
(18, 246, 44)
(18, 980, 25)
(18, 443, 7)
(18, 151, 46)
(18, 279, 8)
(18, 515, 34)
(18, 895, 28)
(18, 437, 5)
(18, 385, 23)
(18, 716, 47)
(18, 751, 12)
(18, 850, 10)
(18, 748, 6)
(18, 450, 13)
(18, 427, 23)
(18, 331, 30)
(18, 602, 30)
(19, 795, 44)
(19, 107, 4)
(19, 92, 26)
(19, 56, 48)
(19, 199, 42)
(19, 221, 45)
(19, 342, 38)
(19, 950, 37)
(19, 562, 33)
(19, 468, 32)
(19, 463, 10)
(19, 332, 4)
(19, 437, 4)
(19, 43, 40)
(19, 269, 41)
(20, 873, 43)
(20, 171, 26)
(20, 586, 30)
(20, 799, 24)
(20, 396, 33)
(20, 722, 20)
(20, 740, 44)
(20, 179, 31)
(20, 221, 8)
(20, 793, 44)
(20, 700, 5)
(20, 164, 10)
(21, 850, 35)
(21, 122, 45)
(21, 57, 24)
(21, 271, 26)
(21, 93, 18)
(21, 685, 37)
(21, 617, 31)
(21, 312, 18)
(21, 851, 46)
(21, 864, 14)
(21, 571, 13)
(21, 283, 50)
(22, 462, 17)
(22, 229, 35)
(22, 44, 31)
(22, 198, 16)
(22, 259, 5)
(22, 755, 21)
(22, 690, 23)
(22, 83, 8)
(22, 687, 32)
(22, 605, 41)
(22, 953, 16)
(22, 236, 23)
(22, 100, 47)
(22, 204, 19)
(22, 861, 35)
(22, 907, 4)
(22, 856, 16)
(22, 106, 11)
(22, 446, 11)
(22, 243, 37)
(22, 738, 30)
(22, 986, 23)
(22, 37, 5)
(22, 157, 35)
(23, 481, 45)
(23, 855, 21)
(23, 76, 44)
(23, 168, 6)
(23, 256, 3)
(23, 667, 37)
(23, 189, 22)
(23, 925, 12)
(23, 787, 36)
(23, 979, 10)
(23, 878, 50)
(23, 308, 23)
(23, 198, 47)
(23, 389, 39)
(23, 385, 12)
(23, 978, 48)
(23, 237, 34)
(23, 644, 38)
(23, 933, 48)
(23, 47, 1)
(23, 763, 7)
(23, 259, 39)
(23, 490, 36)
(23, 902, 31)
(23, 447, 33)
(23, 226, 28)
(23, 624, 1)
(24, 572, 8)
(24, 440, 3)
(24, 562, 17)
(24, 869, 39)
(24, 483, 21)
(24, 672, 48)
(24, 268, 27)
(24, 203, 15)
(24, 768, 48)
(24, 35, 20)
(24, 305, 35)
(24, 382, 29)
(24, 275, 14)
(24, 492, 29)
(24, 994, 20)
(24, 129, 24)
(24, 933, 36)
(25, 547, 25)
(25, 864, 47)
(25, 163, 12)
(25, 588, 17)
(25, 997, 40)
(25, 185, 30)
(25, 947, 6)
(25, 520, 1)
(25, 763, 7)
(25, 330, 48)
(25, 757, 25)
(25, 467, 8)
(25, 338, 19)
(25, 226, 25)
(25, 60, 7)
(25, 850, 45)
(25, 65, 29)
(25, 606, 35)
(25, 306, 28)
(25, 516, 45)
(25, 639, 39)
(26, 457, 25)
(26, 485, 41)
(26, 187, 3)
(26, 107, 29)
(26, 115, 17)
(26, 314, 4)
(26, 815, 26)
(26, 461, 37)
(26, 698, 12)
(26, 38, 42)
(26, 303, 2)
(26, 959, 21)
(26, 753, 2)
(26, 670, 17)
(26, 979, 45)
(26, 849, 3)
(26, 958, 22)
(26, 491, 13)
(26, 307, 18)
(26, 429, 10)
(26, 706, 46)
(26, 976, 3)
(26, 289, 21)
(26, 618, 32)
(26, 169, 5)
(26, 236, 36)
(26, 410, 40)
(26, 622, 36)
(26, 359, 48)
(26, 65, 13)
(26, 581, 36)
(26, 393, 2)
(26, 469, 31)
(27, 229, 33)
(27, 354, 15)
(27, 166, 39)
(27, 386, 9)
(27, 566, 27)
(27, 949, 41)
(27, 908, 50)
(27, 664, 46)
(27, 999, 39)
(27, 662, 9)
(27, 492, 29)
(27, 998, 27)
(27, 69, 8)
(27, 146, 19)
(27, 420, 37)
(27, 121, 44)
(27, 168, 33)
(27, 141, 14)
(27, 977, 25)
(27, 837, 32)
(28, 533, 17)
(28, 549, 28)
(28, 714, 31)
(28, 872, 13)
(28, 322, 33)
(28, 743, 2)
(28, 600, 43)
(28, 566, 10)
(28, 254, 10)
(28, 383, 29)
(28, 793, 50)
(28, 354, 12)
(28, 748, 18)
(28, 971, 19)
(28, 871, 14)
(28, 39, 42)
(28, 130, 20)
(28, 52, 25)
(28, 487, 33)
(28, 112, 44)
(28, 975, 33)
(28, 823, 43)
(28, 593, 35)
(28, 597, 37)
(28, 212, 26)
(28, 892, 48)
(28, 856, 43)
(29, 869, 37)
(29, 735, 39)
(29, 925, 19)
(29, 199, 11)
(29, 198, 13)
(29, 460, 8)
(29, 631, 13)
(29, 951, 6)
(29, 201, 5)
(29, 932, 18)
(29, 859, 49)
(29, 622, 3)
(29, 252, 41)
(29, 193, 5)
(29, 210, 2)
(29, 241, 12)
(29, 714, 24)
(30, 268, 49)
(30, 439, 17)
(30, 280, 28)
(30, 460, 47)
(30, 845, 2)
(30, 250, 17)
(30, 370, 20)
(30, 665, 43)
(30, 43, 17)
(30, 285, 25)
(30, 364, 8)
(30, 818, 42)
(30, 772, 23)
(30, 709, 44)
(30, 470, 17)
(30, 180, 21)
(30, 636, 43)
(30, 646, 33)
(30, 881, 2)
(30, 306, 46)
(30, 101, 37)
(30, 562, 4)
(30, 486, 22)
(31, 390, 1)
(31, 320, 49)
(31, 335, 13)
(31, 230, 42)
(31, 607, 35)
(31, 285, 15)
(31, 234, 45)
(31, 342, 27)
