Edges in the graph (u, v, w):
(0, 8, 18)
(0, 5, 28)
(0, 3, 26)
(0, 2, 8)
(0, 1, 34)
(0, 6, 32)
(0, 4, 33)
(0, 7, 33)
(0, 9, 30)
(1, 2, 31)
(1, 8, 45)
(1, 4, 40)
(1, 3, 44)
(1, 7, 9)
(1, 5, 14)
(1, 6, 8)
(1, 9, 27)
(2, 5, 16)
(2, 6, 15)
(2, 3, 21)
(2, 8, 46)
(2, 7, 7)
(2, 4, 12)
(2, 9, 44)
(3, 5, 18)
(3, 7, 48)
(3, 4, 19)
(3, 6, 17)
(3, 8, 45)
(3, 9, 34)
(4, 5, 49)
(4, 6, 41)
(4, 7, 21)
(4, 8, 18)
(4, 9, 42)
(5, 6, 22)
(5, 9, 50)
(5, 7, 7)
(5, 8, 40)
(6, 7, 41)
(6, 8, 30)
(6, 9, 30)
(7, 8, 4)
(7, 9, 45)
(8, 9, 5)
